Formula
V2AlB
V2AlC
V2AlN
V2PB
V2PC
V2PN
V2TeB
V2TeC
V2TeN
V2ReB
V2ReC
V2ReN
V2SiB
V2SiC
V2SiN
V2GaB
V2GaC
V2GaN
V2GeB
V2GeC
V2GeN
V2AsB
V2AsC
V2AsN
V2CdB
V2CdC
V2CdN
V2SnB
V2SnC
V2SnN
V2InB
V2InC
V2InN
V2TlB
V2TlC
V2TlN
V2PbB
V2PbC
V2PbN
V2SB
V2SC
V2SN
V2SbB
V2SbC
V2SbN
V2BiB
V2BiC
V2BiN
V2ZnB
V2ZnC
V2ZnN
V2SeB
V2SeC
V2SeN
V2FeB
V2FeC
V2FeN
V2CoB
V2CoC
V2CoN
V2NiB
V2NiC
V2NiN
V2CuB
V2CuC
V2CuN
V2AuB
V2AuC
V2AuN
V2IrB
V2IrC
V2IrN
W2AlB
W2AlC
W2AlN
W2PB
W2PC
W2PN
W2TeB
W2TeC
W2TeN
W2ReB
W2ReC
W2ReN
W2SiB
W2SiC
W2SiN
W2GaB
W2GaC
W2GaN
W2GeB
W2GeC
W2GeN
W2AsB
W2AsC
W2AsN
W2CdB
W2CdC
W2CdN
W2SnB
W2SnC
W2SnN
W2InB
W2InC
W2InN
W2TlB
W2TlC
W2TlN
W2PbB
W2PbC
W2PbN
W2SB
W2SC
W2SN
W2SbB
W2SbC
W2SbN
W2BiB
W2BiC
W2BiN
W2ZnB
W2ZnC
W2ZnN
W2SeB
W2SeC
W2SeN
W2FeB
W2FeC
W2FeN
W2CoB
W2CoC
W2CoN
W2NiB
W2NiC
W2NiN
W2CuB
W2CuC
W2CuN
W2AuB
W2AuC
W2AuN
W2IrB
W2IrC
W2IrN
Ta2AlB
Ta2AlC
Ta2AlN
Ta2PB
Ta2PC
Ta2PN
Ta2TeB
Ta2TeC
Ta2TeN
Ta2ReB
Ta2ReC
Ta2ReN
Ta2SiB
Ta2SiC
Ta2SiN
Ta2GaB
Ta2GaC
Ta2GaN
Ta2GeB
Ta2GeC
Ta2GeN
Ta2AsB
Ta2AsC
Ta2AsN
Ta2CdB
Ta2CdC
Ta2CdN
Ta2SnB
Ta2SnC
Ta2SnN
Ta2InB
Ta2InC
Ta2InN
Ta2TlB
Ta2TlC
Ta2TlN
Ta2PbB
Ta2PbC
Ta2PbN
Ta2SB
Ta2SC
Ta2SN
Ta2SbB
Ta2SbC
Ta2SbN
Ta2BiB
Ta2BiC
Ta2BiN
Ta2ZnB
Ta2ZnC
Ta2ZnN
Ta2SeB
Ta2SeC
Ta2SeN
Ta2FeB
Ta2FeC
Ta2FeN
Ta2CoB
Ta2CoC
Ta2CoN
Ta2NiB
Ta2NiC
Ta2NiN
Ta2CuB
Ta2CuC
Ta2CuN
Ta2AuB
Ta2AuC
Ta2AuN
Ta2IrB
Ta2IrC
Ta2IrN
Zr2AlB
Zr2AlC
Zr2AlN
Zr2PB
Zr2PC
Zr2PN
Zr2TeB
Zr2TeC
Zr2TeN
Zr2ReB
Zr2ReC
Zr2ReN
Zr2SiB
Zr2SiC
Zr2SiN
Zr2GaB
Zr2GaC
Zr2GaN
Zr2GeB
Zr2GeC
Zr2GeN
Zr2AsB
Zr2AsC
Zr2AsN
Zr2CdB
Zr2CdC
Zr2CdN
Zr2SnB
Zr2SnC
Zr2SnN
Zr2InB
Zr2InC
Zr2InN
Zr2TlB
Zr2TlC
Zr2TlN
Zr2PbB
Zr2PbC
Zr2PbN
Zr2SB
Zr2SC
Zr2SN
Zr2SbB
Zr2SbC
Zr2SbN
Zr2BiB
Zr2BiC
Zr2BiN
Zr2ZnB
Zr2ZnC
Zr2ZnN
Zr2SeB
Zr2SeC
Zr2SeN
Zr2FeB
Zr2FeC
Zr2FeN
Zr2CoB
Zr2CoC
Zr2CoN
Zr2NiB
Zr2NiC
Zr2NiN
Zr2CuB
Zr2CuC
Zr2CuN
Zr2AuB
Zr2AuC
Zr2AuN
Zr2IrB
Zr2IrC
Zr2IrN
Hf2AlB
Hf2AlC
Hf2AlN
Hf2PB
Hf2PC
Hf2PN
Hf2TeB
Hf2TeC
Hf2TeN
Hf2ReB
Hf2ReC
Hf2ReN
Hf2SiB
Hf2SiC
Hf2SiN
Hf2GaB
Hf2GaC
Hf2GaN
Hf2GeB
Hf2GeC
Hf2GeN
Hf2AsB
Hf2AsC
Hf2AsN
Hf2CdB
Hf2CdC
Hf2CdN
Hf2SnB
Hf2SnC
Hf2SnN
Hf2InB
Hf2InC
Hf2InN
Hf2TlB
Hf2TlC
Hf2TlN
Hf2PbB
Hf2PbC
Hf2PbN
Hf2SB
Hf2SC
Hf2SN
Hf2SbB
Hf2SbC
Hf2SbN
Hf2BiB
Hf2BiC
Hf2BiN
Hf2ZnB
Hf2ZnC
Hf2ZnN
Hf2SeB
Hf2SeC
Hf2SeN
Hf2FeB
Hf2FeC
Hf2FeN
Hf2CoB
Hf2CoC
Hf2CoN
Hf2NiB
Hf2NiC
Hf2NiN
Hf2CuB
Hf2CuC
Hf2CuN
Hf2AuB
Hf2AuC
Hf2AuN
Hf2IrB
Hf2IrC
Hf2IrN
Nb2AlB
Nb2AlC
Nb2AlN
Nb2PB
Nb2PC
Nb2PN
Nb2TeB
Nb2TeC
Nb2TeN
Nb2ReB
Nb2ReC
Nb2ReN
Nb2SiB
Nb2SiC
Nb2SiN
Nb2GaB
Nb2GaC
Nb2GaN
Nb2GeB
Nb2GeC
Nb2GeN
Nb2AsB
Nb2AsC
Nb2AsN
Nb2CdB
Nb2CdC
Nb2CdN
Nb2SnB
Nb2SnC
Nb2SnN
Nb2InB
Nb2InC
Nb2InN
Nb2TlB
Nb2TlC
Nb2TlN
Nb2PbB
Nb2PbC
Nb2PbN
Nb2SB
Nb2SC
Nb2SN
Nb2SbB
Nb2SbC
Nb2SbN
Nb2BiB
Nb2BiC
Nb2BiN
Nb2ZnB
Nb2ZnC
Nb2ZnN
Nb2SeB
Nb2SeC
Nb2SeN
Nb2FeB
Nb2FeC
Nb2FeN
Nb2CoB
Nb2CoC
Nb2CoN
Nb2NiB
Nb2NiC
Nb2NiN
Nb2CuB
Nb2CuC
Nb2CuN
Nb2AuB
Nb2AuC
Nb2AuN
Nb2IrB
Nb2IrC
Nb2IrN
